128
2 10  DummyCtrlInst  A.DEFECTO TECLADO OPERADOR
2 10  DummyCtrlInst  A.FUERA DE SERVICIO CZ-10
2 10  DummyCtrlInst  A.FALTA ALIMENTACION CZ-10
2 10  DummyCtrlInst  A.FALLO COMUNICACION CZ-10
2 10  DummyCtrlInst  A.AVERIA CNTRAINC. ESCALERA
2 10  DummyCtrlInst  A.ALARMA CONTRAINC. ESCALERA
2 10  DummyCtrlInst  A. AVERIA CINTAINC. C.COMUNIC.
2 10  DummyCtrlInst  A.ALARMA CINTRAINC. C.COMUNIC.
2 10  DummyCtrlInst  A.AVERIA CONTRAINC. C.ENCLAVAM.
2 10  DummyCtrlInst  A.ALARMA CONTRAINC. C.ENCLAVAM.
2 10  DummyCtrlInst  A.AVERIA CONTRAINC. C.BAJA TENSION
2 10  DummyCtrlInst  A.ALARMA CONTRAINC. C.BAJA TENSION
2 10  DummyCtrlInst  A.AVERIA CONTRAINC. C.TRANSFORMACION
2 10  DummyCtrlInst  A.ALARMA CONTRAINC. C.TRANSFORMACION
2 10  DummyCtrlInst  A.ZONA NO PREVISTA CONTRAINCENDIOS
2 10  DummyCtrlInst  A.AVERIA CONTR. C.T. Y BAJA TENSION
2 10  DummyCtrlInst  A.ALARMA CONTR. C.T. Y BAJA TENSION
2 10  DummyCtrlInst  O.MARCHA BAJADA ESCALERA
2 10  DummyCtrlInst  O.MARCHA SUBIDA ESCALERA
2 10  DummyCtrlInst  O.PARADA ESCALERA
2 10  DummyCtrlInst  O.SELECCION BAJAR ESCALERA
2 10  DummyCtrlInst  O.SELECCION SUBIR ESCALERA
2 10  DummyCtrlInst  O.PASO A REMOTO ESCALERA
2 10  DummyCtrlInst  O.MANDO A LOCAL ESCALERA
2 10  DummyCtrlInst  O.CONEXION ALUMBRADO TUNEL
2 10  DummyCtrlInst  O.DESCONEXION ALUMBRADO TUNEL
2 10  DummyCtrlInst  O.MARCHA EXTRACCION VENT. TUNEL
2 10  DummyCtrlInst  O.MARCHA EXTRACCION VENT. ANDEN
2 10  DummyCtrlInst  O.MARCHA IMPULSION VENT. TUNEL
2 10  DummyCtrlInst  O.MARCHA IMPULSION VENT. ANDEN
2 10  DummyCtrlInst  O.PARADA VENTILADOR TUNEL
2 10  DummyCtrlInst  O.PARADA VENTILADOR ANDEN
4 10  DummyCtrlInst  *
4 10  DummyCtrlInst  *
